amfi_code,VaR_95,CVaR_95,rolling_sharpe,risk_grade
120507,-0.00022157351389344714,-0.00037258039979649643,14.584281933092893,Low
120844,-0.00028479272823556107,-0.00041099591933232505,14.144869008048502,Low
101208,-0.0002686575130400159,-0.0004220820655857685,13.952418146504588,Low
148569,-0.017118192655621135,-0.021328305810328105,4.30722873150122,High
120842,-0.01821853045255608,-0.02272497526268088,3.0586646480346804,High
125498,-0.018365320169601018,-0.02309379305316794,2.9500215400154017,High
118632,-0.013954045870018117,-0.017618579320162156,2.6505235791942376,Moderate
125497,-0.014591769071140459,-0.018309885328057912,2.159343472803809,Moderate
120503,-0.01355001716250348,-0.01745055416552432,2.0236152330038135,Moderate
